slug,original_title,bilibili_title,subtitle_count,supplement_source,subtitles
undated-001_the-ai-native-startup-5-products-7-figure-revenue-100-ai-written,"The AI-native startup: 5 products, 7-figure revenue, 100% AI-written code. | Dan Shipper (Every)",AI 原生初创公司：5 款产品，7 位数营收，100% AI 编写代码 |Dan Shipper(CEO of Every),0,,
undated-002_ai,,AI 悖论：自动化越多，人越多，工作也越多,1,,"N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\AI 悖论：自动化越多，人越多，工作也越多\字幕\The AI paradox More automation, more humans, more work  Dan Shipper - Lenny's Podcast (1080p, h264, youtube)_final (2).srt"
undated-003_sam-altman-how-to-start-a-startup-ai,Sam Altman - How to Start a Startup,AI 时代如何创办一家初创公司 | Sam Altman,1,,N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\AI 时代如何创办一家初创公司\字幕\Sam Altman.OPUS4-8术语小修去行尾标点版.有翻译参考资料版.双语.中文在上.srt
undated-004_the-rise-of-taste-human-authenticity-and-judgment-in-an-ai-world,"The rise of taste, human authenticity and judgment in an AI world | Adam Mosseri (Head of IG)",AI 时代，品味、人的真实性与判断力为何愈发重要 | Adam Mosseri（Instagram 负责人）,1,,"N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\AI 时代，品味、人的真实性与判断力为何愈发重要\字幕\The rise of taste, human authenticity and judgment.OPUS4.8无翻译参考资料版.双语.中文在上.去标点版.srt"
undated-005_why-the-ai-s-honeymoon-is-ending-and-tech-workers-are-feeling,Why the AI's honeymoon is ending (and tech workers are feeling it) | Noam Segal,观点：美国AI 蜜月期正在结束，科技从业者已经感受到了｜Noam Segal,1,,N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\AI 蜜月期正在结束，科技从业者已经感受到了\字幕\Why the tech workforce is quietly splitting in two.OPUS4.8有翻译参考资料版.双语.中文在上.srt
undated-006_why-ai-is-going-vertical-again-dianne-penn-anthropic-anthropic-ai,Why AI is going vertical (again) | Dianne Penn (Anthropic),AI 为何再次垂直起飞｜Dianne Penn(Anthropic),1,Why AI is going vertical (again) ｜ Dianne Penn (Anthropic) (1.26),N:\C\Youtube\downloads\projects\Why AI is going vertical (again) ｜ Dianne Penn (Anthropic)\10_翻译\Why AI is going vertical (again).OPUS4-8术语小修去行尾标点版.双语.中文在上.srt
undated-007_anthropic-president-amodei-on-the-future-of-claude-anthropic-daniela-amodei-claude,Anthropic President Amodei on the Future of Claude,Anthropic 总裁 Daniela Amodei 谈 Claude 的未来|Daniela Amodei,0,,
undated-008_anthropic-s-ethicist-on-whether-ai-can-become-conscious-anthropic-claude,Anthropic's Ethicist on Whether AI Can Become Conscious,Anthropic 的人工智能 Claude 有意识吗？| Amanda Askell,0,,
undated-009_claude-code-best-practices-code-w-claude-claude-code-cal-rueb,Claude Code best practices | Code w/ Claude,Claude Code 最佳实践及功能解析|Cal Rueb,0,,
undated-010_meta-ai-chief-wang-on-winning-the-race-in-ai-metaai,Meta AI Chief Wang on Winning the Race in AI,Meta AI 负责人 Alexandr Wang 谈如何赢得 AI 竞赛|Alexandr Wang,0,,
undated-011_openai-codex-masterclass-vaibhav-srivastav-katia-gil-guzman-openai-codex,OpenAI Codex Masterclass — Vaibhav Srivastav & Katia Gil Guzman,OpenAI Codex 插件、自动化与子智能体|Vaibhav Srivastav & Katia Gil Guzman,0,,
undated-012_openai-codex-lead-on-the-new-shape-of-product-work-andrew-ambrosino,OpenAI Codex lead on the new shape of product work | Andrew Ambrosino,OpenAI Codex 负责人谈 AI 时代产品工作的重塑 | Andrew Ambrosino,1,,N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\OpenAI Codex 负责人谈 AI 时代产品工作的重塑\字幕\Why OpenAI is merging Codex and ChatGPT and the.OPUS4.8有翻译参考资料版.双语.中文在上.去多余标点修正版.srt
undated-013_how-to-get-your-first-customers-startup-school-yc,How to Get Your First Customers | Startup School,YC创业课:创业公司如何拿下第一批客户 | Gustaf Alströmer,1,,N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\YC 创业课创业公司如何拿下第一批客户\字幕\How to Get Your First Customers.OPUS4.8有翻译参考资料版.双语.中文在上.术语统一去多余标点版.srt
undated-014_how-to-talk-to-users-startup-school-yc,How To Talk To Users | Startup School,YC创业课:如何与用户交谈 | Gustaf Alströmer,0,,
undated-015_building-claude-code-with-boris-cherny-boris-cherny-claude-code,Building Claude Code with Boris Cherny,与 Boris Cherny 一起构建 Claude Code,1,,"N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\与 Boris Cherny 一起构建 Claude Code\字幕\Building Claude Code with Boris Cherny - The Pragmatic Engineer (1080p, h264, youtube)_final.srt"
undated-016_world-labs-fei-fei-li-on-creating-large-world-models,World Labs' Fei-Fei Li on Creating Large World Models,World Labs 李飞飞谈大型世界模型的构建|李飞飞,0,,
undated-017_startup-experts-discuss-doing-things-that-don-t-scale,Startup Experts Discuss Doing Things That Don't Scale,YC合伙人谈：为什么创业早期要做不能规模化的事,1,,N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\为什么创业早期要做不能规模化的事\字幕\Startup Experts Discuss Doing Things That Don't.OPUS4.8有翻译参考资料版.双语.中文在上.术语统一去多余标点版.srt
undated-018_why-building-eval-platforms-is-hard-phil-hetzel-braintrust-eval,"Why building eval platforms is hard — Phil Hetzel, Braintrust",为什么构建评估（Eval）平台如此困难|Phil Hetzel(Braintrust),1,,"N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\为什么构建评估（Eval）平台如此困难\字幕\Why building eval platforms is hard — Phil Hetzel, Braintrust - AI Engineer (1080p, h264, youtube)_final.srt"
undated-019_this-cpo-regrets-that-product-management-exists-tom-verrilli-cpo-of-whatnot,This CPO regrets that product management exists | Tom Verrilli (CPO of Whatnot),为什么说“产品经理岗位本不该存在” | Tom Verrilli（Whatnot首席产品官）,1,This CPO regrets that product management exists ｜ Tom Verrilli (CPO of Whatnot) (1.36),N:\C\Youtube\downloads\projects\This CPO regrets that product management exists ｜ Tom Verrilli (CPO of Whatnot)\10_翻译\This CPO regrets that product management exists.OPUS4-8有翻译参考资料版.双语.中文在上.术语小修+去多余行尾标点版.srt
undated-020_shipping-complex-ai-applications-braintrust-trainline-ai,Shipping complex AI applications — Braintrust & Trainline,交付复杂的AI应用程序|Braintrust & Trainline,1,,"N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\交付复杂的AI应用程序\字幕\Shipping complex AI applications — Braintrust & Trainline - AI Engineer (1080p, h264, youtube)_final.srt"
undated-021_ai-scientist-bengio-on-engineering-safer-agents-bengio,AI Scientist Bengio on Engineering Safer Agents,人工智能科学家 Bengio 谈如何打造更安全的智能体|Bengio,0,,
undated-022_sam-altman-never-a-better-time-to-do-a-startup,"Sam Altman: ""Never a Better Time to Do a Startup""",从没有比现在更适合创业的时候 | Sam Altman,1,,N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\从没有比现在更适合创业的时候\字幕\Sam Altman： ＂Never a Better Time to Do a Startup＂.OPUS4-8参考资料校正版.双语.中文在上.srt
undated-023_ai,,全程用 AI 做动效海报,1,,N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\全程用 AI 做动效海报\字幕\Viktor Oddy on X Insane Social Media Designs in Minutes. Claude Nano Banana. Full Tutorial ❤️_🔥Anyone can now create high-end social media posts fully with AI https t.co M20sWYlUj4 X_final.srt
undated-024_the-most-rational-take-on-ai-you-ll-hear-this-year-benedict,The most rational take on AI you’ll hear this year | Benedict Evans,别再被失业恐慌骗了，AI只消灭任务，不消灭工作|Benedict Evans,0,,
undated-025_142-2-harness-2026-stanley-druckenmiller-dau-ai,142. 雨森的创投观察第2集：Harness、下一个字节、2026大机会和Stanley Druckenmiller,下一个“字节级”的AI巨头，可能长得完全不像字节|戴雨森,0,,
undated-026_the-clues-to-a-great-story-andrew-stanton-ted,The clues to a great story | Andrew Stanton | TED,好故事的线索|Andrew Stanton,0,,
undated-027_how-to-build-ai-agents-that-check-their-own-work-jared-zoneraich,How to Build AI Agents That Check Their Own Work | Jared Zoneraich,如何打造会自我检查工作成果的 AI Agent | Jared Zoneraich,1,How to Build AI Agents That Check Their Own Work ｜ Jared Zoneraich (1.26),N:\C\Youtube\downloads\projects\How to Build AI Agents That Check Their Own Work ｜ Jared Zoneraich\10_翻译\How to Build AI Agents That Check Their Own Work.OPUS4.8有翻译参考资料版.双语.中文在上.术语统一去多余标点版.srt
undated-028_ira-glass-on-storytelling,Ira Glass on Storytelling,讲故事|Ira Glass,0,,
undated-029_full-workshop-build-your-own-deep-research-agents-louis-fran-ois-bouchard,"Full Workshop: Build Your Own Deep Research Agents - Louis-François Bouchard, Paul Iusztin, Samridhi","完整工作坊：构建你自己的深度研究智能体|Louis-François Bouchard, Paul Iusztin, Samridhi",1,,"N:\C\Youtube\downloads\视频资料最终合集_最终修正版_20260805_1215\完整工作坊构建你自己的深度研究智能体\字幕\Full Workshop Build Your Own Deep Research Agents - Louis-Fran鏾is Bouchard, Paul Iusztin, Samridhi - AI Engineer (1080p, h264, youtube)_final.srt"
